,city,lat,lng,max temp,humidity,cloudiness,wind speed,country id,date
121,Macusani,-14.0833,-70.4333,43.38,86,99,2.64,PE,1643404608
122,Westport,41.1415,-73.3579,34.25,77,100,5.01,US,1643404416
123,Chokurdakh,70.6333,147.9167,-30.86,96,96,4.12,RU,1643404608
124,Kencong,-8.2833,113.3667,75.18,87,100,3.24,ID,1643404609
125,Örnsköldsvik,63.2909,18.7153,27.55,74,100,5.75,SE,1643404609
126,Mar del Plata,-38.0023,-57.5575,73.42,71,0,20.0,AR,1643404610
127,Maniitsoq,65.4167,-52.9,22.93,92,100,23.71,GL,1643404610
128,Kavieng,-2.5744,150.7967,81.79,78,98,6.46,PG,1643404611
129,Hermanus,-34.4187,19.2345,63.81,76,0,11.45,ZA,1643404611
130,Nago,26.5881,127.9761,64.47,89,100,10.45,JP,1643404611
131,Kiama,-34.6833,150.8667,78.26,79,13,5.99,AU,1643404612
132,College,64.8569,-147.8028,4.95,56,75,11.5,US,1643404334
133,Akşehir,38.3575,31.4164,11.44,92,35,3.58,TR,1643404612
134,Antofagasta,-23.65,-70.4,70.21,67,28,8.93,CL,1643404563
135,Carroll,39.5501,-77.0164,34.12,83,100,1.99,US,1643404613
136,Mgandu,-5.95,34.1333,61.83,94,100,2.35,TZ,1643404613
137,Fortuna,40.5982,-124.1573,66.92,48,0,1.99,US,1643404613
138,Taoudenni,22.6783,-3.9836,74.03,13,94,11.61,ML,1643404614
139,Burgeo,47.6167,-57.6152,28.9,77,100,16.78,CA,1643404614
140,Doka,13.5167,35.7667,74.5,35,0,12.71,SD,1643404614
141,City of San Pedro,14.35,121.0167,78.03,89,20,1.14,PH,1643404615
142,Berlevåg,70.8578,29.0864,31.95,59,75,17.27,NO,1643404615
143,Carnarvon,-24.8667,113.6333,69.87,88,0,5.75,AU,1643404615
144,Rocha,-34.4833,-54.3333,68.77,61,10,9.44,UY,1643404616
145,Zeya,53.75,127.2667,-8.03,86,19,5.61,RU,1643404616
146,Tuktoyaktuk,69.4541,-133.0374,-19.23,97,18,13.49,CA,1643404355
147,Carson City,39.1638,-119.7674,53.11,41,0,1.01,US,1643404616
148,Guangzhou,23.1167,113.25,63.0,55,100,9.24,CN,1643404617
149,Pingliang,35.5392,106.6861,11.43,87,13,5.12,CN,1643404617
